track_name,artist_name,album_name,track_duration,track_popularity,track_release_date,track_explicit,artist_genre,artist_popularity,artist_follower_count,artist_ranking,my_top_songs
Sarcasm,Get Scared,Best Kind Of Mess,198,67,201001,1,"emo, metalcore, post-hardcore",58,764241,21,1
Glass Heart,Caskets,Lost Souls,224,68,202108,0,"metalcore, post-hardcore",61,209521,14,1
weapon,Against The Current,fever,197,59,202107,0,pop punk,64,532952,12,1
One Hundred Sleepless Nights,Pierce The Veil,Collide With The Sky,221,69,201207,0,"emo, screamo, post-hardcore",77,3583033,4,1
Lost in Echoes,Caskets,Lost Souls,217,66,202108,0,"metalcore, post-hardcore",61,209521,14,1
Hell Above,Pierce The Veil,Collide With The Sky,223,74,201207,0,"emo, screamo, post-hardcore",77,3583033,4,1
Somebody Told Me,Motionless In White,Somebody Told Me,199,68,202009,0,"metalcore, metal, screamo",70,1910079,2,1
Drowned in Emotion,Caskets,Lost Souls,222,63,202108,0,"metalcore, post-hardcore",61,209521,14,1
Jenny,NOTHING MORE,Nothing More,236,73,201406,0,,67,545705,11,1
Ignorance,Paramore,Brand New Eyes,218,73,200909,0,"pop punk, emo",82,9474638,1,1
Pretty Handsome Awkward,The Used,Lies for the Liars,215,65,200705,1,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
Reincarnate,Motionless In White,Reincarnate,220,63,201409,1,"metalcore, metal, screamo",70,1910079,2,1
Scoring The End Of The World (feat. Mick Gordon),Motionless In White,Scoring The End Of The World,228,59,202206,0,"metalcore, metal, screamo",70,1910079,2,1
Complete Collapse,Sleeping With Sirens,Complete Collapse,192,51,202210,0,"emo, post-hardcore, screamo",68,2517462,5,1
A Match Into Water,Pierce The Veil,Collide With The Sky,212,76,201207,1,"emo, screamo, post-hardcore",77,3583033,4,1
Cyberhex,Motionless In White,Scoring The End Of The World,275,61,202206,0,"metalcore, metal, screamo",70,1910079,2,1
Nowhere To Go,Bad Omens,THE DEATH OF PEACE OF MIND,246,70,202202,1,metalcore,74,1757840,8,1
Another Life,Motionless In White,Disguise,205,75,201906,0,"metalcore, metal, screamo",70,1910079,2,1
The Shower Scene,Ice Nine Kills,Welcome To Horrorwood: The Silver Scream 2,191,62,202110,0,"metalcore, metal",67,1112695,7,1
Sign Of Life,Motionless In White,Scoring The End Of The World,220,68,202206,0,"metalcore, metal, screamo",70,1910079,2,1
Pass The Nirvana,Pierce The Veil,The Jaws Of Life,197,70,202302,1,"emo, screamo, post-hardcore",77,3583033,4,1
Brick by Boring Brick,Paramore,Brand New Eyes,253,69,200909,0,"pop punk, emo",82,9474638,1,1
Masterpiece,Motionless In White,Scoring The End Of The World,206,71,202206,0,"metalcore, metal, screamo",70,1910079,2,1
The Worst In Me,Bad Omens,Bad Omens,229,68,201608,1,metalcore,74,1757840,8,1
Bloody Knuckles,Sleeping With Sirens,Complete Collapse,207,57,202210,1,"emo, post-hardcore, screamo",68,2517462,5,1
Throne,Bring Me The Horizon,That's The Spirit,191,79,201509,0,"metalcore, emo, screamo, rock, post-hardcore",80,6451295,3,1
Circle With Me,Spiritbox,Eternal Blue,233,74,202109,0,"metalcore, djent, metal",69,915026,13,1
Like A Villain,Bad Omens,THE DEATH OF PEACE OF MIND,210,75,202202,1,metalcore,74,1757840,8,1
Safe And Sound,Point North,Prepare For Despair,201,64,202308,0,pop punk,57,182043,56,1
"""good guy""",Against The Current,"""good guy""",208,49,202304,1,pop punk,64,532952,12,1
Caraphernelia,Pierce The Veil,Selfish Machines,268,74,201006,0,"emo, screamo, post-hardcore",77,3583033,4,1
King For A Day,Pierce The Veil,Collide With The Sky,236,80,201207,1,"emo, screamo, post-hardcore",77,3583033,4,1
Bulls In The Bronx,Pierce The Veil,Collide With The Sky,267,75,201207,0,"emo, screamo, post-hardcore",77,3583033,4,1
Misery Business,Paramore,Riot!,211,79,200706,0,"pop punk, emo",82,9474638,1,1
Rainy Day,Ice Nine Kills,Welcome To Horrorwood: The Silver Scream 2,181,63,202110,0,"metalcore, metal",67,1112695,7,1
Meat & Greet,Ice Nine Kills,Welcome To Horrorwood: Under Fire,210,56,202310,1,"metalcore, metal",67,1112695,7,1
Careful,Paramore,Brand New Eyes,230,58,200909,0,"pop punk, emo",82,9474638,1,1
Again,Flyleaf,Memento Mori (Expanded),184,62,200901,0,"christian rock, christian alternative rock, emo",64,1415610,15,1
I'm So Sick,Flyleaf,Flyleaf,175,71,200601,0,"christian rock, christian alternative rock, emo",64,1415610,15,1
Werewolf,Motionless In White,Scoring The End Of The World,212,62,202206,0,"metalcore, metal, screamo",70,1910079,2,1
The Void,Spiritbox,The Void,220,66,202304,0,"metalcore, djent, metal",69,915026,13,1
War,Story Of The Year,Tear Me to Pieces,174,60,202303,0,"emo, post-hardcore, screamo, pop punk",58,548468,87,1
If You Can't Hang,Sleeping With Sirens,Let's Cheers To This,250,75,201105,0,"emo, post-hardcore, screamo",68,2517462,5,1
Situations,Escape the Fate,Dying Is Your Latest Fashion,187,67,200610,0,"emo, screamo, post-hardcore, metalcore",63,1427783,43,1
Guiding Light,Caskets,Reflections,262,58,202308,0,"metalcore, post-hardcore",61,209521,14,1
All Around Me,Flyleaf,Flyleaf,198,73,200601,0,"christian rock, christian alternative rock, emo",64,1415610,15,1
Misery,Memphis May Fire,Remade In Misery,192,68,202206,0,"metalcore, post-hardcore, screamo",62,924053,28,1
We Own the Night,Dance Gavin Dance,Instant Gratification,205,67,201504,0,"post-hardcore, screamo, metalcore, emo, math rock",68,782178,65,1
In Fate's Hands,The Red Jumpsuit Apparatus,Don't You Fake It,209,54,200601,0,"pop punk, emo",65,1491980,9,1
that won't save us,Against The Current,fever,200,51,202107,1,pop punk,64,532952,12,1
The Bird and the Worm,The Used,Lies for the Liars,225,62,200705,0,"emo, screamo, post-hardcore, pop punk",64,1276098,6,1
Sleepwalking,Bring Me The Horizon,Sempiternal (Expanded Edition),230,75,201304,0,"metalcore, emo, screamo, rock, post-hardcore",80,6451295,3,1
A Grave Mistake,Ice Nine Kills,The Silver Scream,184,67,201810,0,"metalcore, metal",67,1112695,7,1
Teardrops,Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,215,70,202010,1,"metalcore, emo, screamo, rock, post-hardcore",80,6451295,3,1
"If I'm James Dean, You're Audrey Hepburn",Sleeping With Sirens,With Ears To See And Eyes To Hear,219,71,201003,0,"emo, post-hardcore, screamo",68,2517462,5,1
Would You Still Be There,Of Mice & Men,Restoring Force,192,63,201401,0,"metalcore, post-hardcore, screamo, metal",61,1354909,20,1
