artist_name,count
Ludwig van Beethoven,165
Paramore,104
The Used,95
Motionless In White,88
Johann Sebastian Bach,85
Bring Me The Horizon,73
Drake,71
NOTHING MORE,66
The Red Jumpsuit Apparatus,65
Bullet For My Valentine,63
Icon For Hire,63
Breaking Benjamin,60
Sleeping With Sirens,59
Get Scared,58
Ice Nine Kills,57
Wolfgang Amadeus Mozart,57
Evanescence,56
John Mayer,55
Memphis May Fire,52
Spiritbox,52
Pierce The Veil,50
I Prevail,48
Tonight Alive,44
Bad Omens,44
A Day To Remember,43
Against The Current,42
Poppy,41
Three Days Grace,40
Kanye West,40
Linkin Park,38
Mac Miller,36
Falling In Reverse,36
In This Moment,35
Flyleaf,35
Playboi Carti,34
Escape the Fate,33
My Chemical Romance,33
Sum 41,33
Lil Uzi Vert,32
The Plot In You,32
Conquer Divide,31
Fall Out Boy,30
Avenged Sevenfold,29
Architects,29
From Ashes to New,29
Papa Roach,28
Rain City Drive,28
Future Palace,28
Of Mice & Men,28
Crown The Empire,27
Reliqa,27
Stand Atlantic,27
Caskets,25
We Came As Romans,25
Yours Truly,24
Gustav Mahler,24
Polaris,24
Wage War,24
While She Sleeps,23
Daedric,22
The Amity Affliction,21
Avril Lavigne,21
Seether,21
Cassyette,21
Felix Mendelssohn,21
All Time Low,21
Frédéric Chopin,20
Destroy Rebuild Until God Shows,20
Lana Del Rey,20
Jane's Addiction,20
ENMY,20
Rise Against,19
Trivium,19
Chevelle,18
Sleep Token,18
Crystal Castles,17
Currents,17
Lil Baby,17
TOOL,17
STARSET,17
As December Falls,17
Dark Divine,16
Beartooth,16
Asking Alexandria,16
All That Remains,16
Dance Gavin Dance,16
Killswitch Engage,16
Imminence,15
I See Stars,15
Hardwell,15
Wind Walkers,15
thrown,15
Catch Your Breath,15
Attack Attack!,15
Nerv,15
Janos Sebestyen,15
Point North,15
Nirvana,15
Carl Philipp Emanuel Bach,14
SLAVES,14
Saint Asonia,14
Slipknot,14
10 Years,14
Holding Absence,14
Green Day,14
Black Veil Brides,14
As Everything Unfolds,14
blink-182,13
RedHook,13
Attila,13
Shallowsky,13
Northlane,13
TX2,12
The Funeral Portrait,12
The Home Team,12
First and Forever,12
Dream State,12
Make Them Suffer,12
Story Of The Year,12
Deftones,12
The All-American Rejects,12
Jean Sibelius,12
The Pretty Reckless,12
The Word Alive,11
Sugarcult,11
New Years Day,11
Set It Off,11
Hot Milk,11
Ottorino Respighi,11
Panic! At The Disco,11
Hoobastank,11
Skrillex,11
Archers,11
Silverstein,11
Nicky Romero,11
VENUES,11
John Field,11
Domenico Scarlatti,10
Metallica,10
Lacey Sturm,10
The Material,10
Savage Hands,10
Kingdom Of Giants,10
My Darkest Days,10
Halestorm,10
XXXTENTACION,10
Blameshift,10
Disturbed,10
Franz Liszt,10
Korn,10
Zedd,10
If Not For Me,10
Chrissy Costanza,10
Yeat,9
Gusttavo Lima,9
Light The Torch,9
Yellowcard,9
Underoath,9
Nevertel,9
LANDMVRKS,9
senses,9
ALESTI,9
Thrice,9
YoungBoy Never Broke Again,9
Foo Fighters,9
Envoi,9
Our Promise,9
David Guetta,9
Soulja Boy,9
Mayday Parade,9
Uamee,9
Radiohead,8
Lil Wayne,8
Johannes Brahms,8
Kendrick Lamar,8
Carl Maria von Weber,8
Sleep Theory,8
Robert Schumann,8
Siamese,8
Too Close To Touch,8
Lø Spirit,8
Pyotr Ilyich Tchaikovsky,8
New Medicine,8
DJ Blyatman,8
Saosin,8
The Offspring,8
Magnolia Park,8
Silent Planet,8
Miss May I,8
System Of A Down,8
Memory of a Melody,7
Butcher Babies,7
FLOYA,7
Sexyy Red,7
Godsmack,7
The Devil Wears Prada,7
"Tyler, The Creator",7
Bad Wolves,7
Fit For A King,7
Azealia Banks,7
A Perfect Circle,7
Of Virtue,7
Ski Mask The Slump God,7
Dragged Under,7
Awaken I Am,7
Anberlin,7
Self Deception,7
Annisokay,7
Alexander Kniazev,7
NOVELISTS,7
Windwaker,7
The Pretty Wild,7
Not Enough Space,7
deadmau5,7
Dayseeker,7
New Found Glory,7
Lake Malice,7
Alter Bridge,6
There For Tomorrow,6
Gabriel Fauré,6
VOILÀ,6
Joseph Haydn,6
Fire From The Gods,6
Senses Fail,6
AFI,6
PVRIS,6
The Warning,6
Colorblind,6
Twenty One Pilots,6
Antonín Dvořák,6
Vana,6
ILLENIUM,6
Juanes,6
Parkway Drive,6
Hawthorne Heights,6
Eminem,6
42 Dugg,6
Fit For Rivals,6
Written by Wolves,6
Logic,6
The Ghost Inside,6
Kid Cudi,6
Swedish House Mafia,6
Acres,6
Kodak Black,6
SAVE US,6
Sakoya,6
Sergei Rachmaninoff,6
ERRA,6
blessthefall,6
Will Sparks,6
Honey Revenge,6
Alexisonfire,6
The Haunt,6
Jean-Baptiste Lully,5
Lil Durk,5
Apocalyptica,5
Any Given Sin,5
Versus Me,5
Good Charlotte,5
FEVER 333,5
NOFX,5
Fame on Fire,5
Thousand Foot Krutch,5
Famous Last Words,5
Edvard Grieg,5
Drowning Pool,5
Skillet,5
Calvin Harris,5
Maddix,5
A Skylit Drive,5
Coping Method,5
Paloma,5
Dada Life,5
Five Finger Death Punch,5
Travis Scott,5
Martin Garrix,5
Shinedown,5
Ekoh,5
Softspoken,5
Britney Spears,5
Mastodon,5
Bedřich Smetana,5
Destroy Lonely,5
Juice WRLD,5
Testament,4
August Burns Red,4
PSY,4
Evans Blue,4
Migos,4
FOVOS,4
W&W,4
Quintino,4
Alexander Scriabin,4
ZAPRAVKA,4
Atreyu,4
JAY-Z,4
Stone Sour,4
Ankor,4
DJ Khaled,4
HELLYEAH,4
Post Malone,4
Harper,4
Ignaz Friedman,4
Pop Evil,4
GHØSTKID,4
Marilyn Manson,4
Ozzy Osbourne,4
ДЕТИ RAVE,4
Trapt,4
J. Cole,4
Crossfade,4
AVOID,4
Trash Boat,4
Our Mirage,4
League of Legends,4
Loveless,4
Red Sun Rising,4
The Narrator,4
King Von,4
NWYR,4
Staind,4
Jimmy Eat World,4
Incubus,4
Victims Aren't We All,4
VIOLENT VIRA,4
"Chunk! No, Captain Chunk!",4
Amira Elfeky,4
Muzio Clementi,4
Taking Back Sunday,4
Avicii,4
You Me At Six,4
Dal Av,4
The Story So Far,4
Russian Village Boys,4
ONI,4
Knocked Loose,4
Soundgarden,4
Mitski,4
Franz Schubert,4
Pantera,4
Zero 9:36,4
Foster The People,4
elijah,4
Christoph Willibald Gluck,4
Lang Lang,3
Scary Kids Scaring Kids,3
Red Hot Chili Peppers,3
DaBaby,3
Kami Kehoe,3
Dream on Dreamer,3
Georges Bizet,3
Charlotte Sands,3
Anarbor,3
Finch,3
The Cure,3
Simple Plan,3
Dead Eyes,3
Cologne Chamber Orchestra,3
Ocean Grove,3
Fanny Mendelssohn,3
Rezz,3
Dr. Dre,3
The Maine,3
Gorillaz,3
