Track Name,Artist Name,Album Name,Album Release Date,Track Duration,Track Popularity,Track Release Date,Explicit,ISRC,Artist Genre,Artist Popularity,Artist Follower Count,Album Picture,Artist Picture,Album ID,Track ID,Artist ID,TopSongsRating,TopArtistRanking
Sarcasm,Get Scared,Best Kind Of Mess,2010-01-01,3:18,67,2010-01-01,True,USUM71021465,"emo, metalcore, post-hardcore",58,764241,https://i.scdn.co/image/ab67616d0000b27381c8341abbed9421975ca71d,https://i.scdn.co/image/ab6761610000e5eb0aaa9d35794ed0470d2f5072,3xkOfH5nqIMm4b8qDWlzLj,40i81AcCCxiVEFUWElcjZC,5r9uIJCoquVtEkCkvcn8Ez,1,21.0
Glass Heart,Caskets,Lost Souls,2021-08-13,3:44,68,2021-08-13,False,DED832001047,"metalcore, post-hardcore",61,209521,https://i.scdn.co/image/ab67616d0000b2736bbd5c58e7be013e8e83dcb3,https://i.scdn.co/image/ab6761610000e5ebd1f782d80e77de33906e2819,1Rty2CL0UZeJWeCcCiXmhg,1nxbn0COjeyH7MQZ27T3CR,2XIbOWDT5vZPW7jNyzdfcK,2,14.0
weapon,Against The Current,fever,2021-07-23,3:17,59,2021-07-23,False,USAT22100747,pop punk,64,532952,https://i.scdn.co/image/ab67616d0000b273186660bbf3b0dd9a5195e182,https://i.scdn.co/image/ab6761610000e5eb469aba515a0815396f1c432c,4MwOuqjdK7OP1xaRPo83xT,5z0QlOV93W6Yo7DG2SYOJP,6yhD1KjhLxIETFF7vIRf8B,3,12.0
One Hundred Sleepless Nights,Pierce The Veil,Collide With The Sky,2012-07-17,3:41,69,2012-07-17,False,US5261216610,"emo, screamo, post-hardcore",77,3583033,https://i.scdn.co/image/ab67616d0000b273077cac00c2d9075e6f742570,https://i.scdn.co/image/ab6761610000e5eb6f8f8d13be17bf486219edc7,661Hz0qJK8WIp7vAWsqKvk,5TNX6rJ91T8PdEt94X50Y9,4iJLPqClelZOBCBifm8Fzv,4,4.0
Lost in Echoes,Caskets,Lost Souls,2021-08-13,3:37,66,2021-08-13,False,DED832001347,"metalcore, post-hardcore",61,209521,https://i.scdn.co/image/ab67616d0000b2736bbd5c58e7be013e8e83dcb3,https://i.scdn.co/image/ab6761610000e5ebd1f782d80e77de33906e2819,1Rty2CL0UZeJWeCcCiXmhg,13YWByXibBltt3T5u3IcT7,2XIbOWDT5vZPW7jNyzdfcK,5,14.0
Hell Above,Pierce The Veil,Collide With The Sky,2012-07-17,3:43,74,2012-07-17,False,US5261216602,"emo, screamo, post-hardcore",77,3583033,https://i.scdn.co/image/ab67616d0000b273077cac00c2d9075e6f742570,https://i.scdn.co/image/ab6761610000e5eb6f8f8d13be17bf486219edc7,661Hz0qJK8WIp7vAWsqKvk,3EKh7JNsBrGoh2xqPotBKT,4iJLPqClelZOBCBifm8Fzv,6,4.0
Somebody Told Me,Motionless In White,Somebody Told Me,2020-09-09,3:19,68,2020-09-09,False,NLA322000320,"metalcore, metal, screamo",70,1910079,https://i.scdn.co/image/ab67616d0000b273085e27250140f829d2c24ed9,https://i.scdn.co/image/ab6761610000e5eb58f2b24b02877506d74b612b,6pCLV8Yt4VGIHuFj3Y1XcS,1KF6uW84ksAUlTMy08gP1R,6MwPCCR936cYfM1dLsGVnl,7,2.0
Drowned in Emotion,Caskets,Lost Souls,2021-08-13,3:42,63,2021-08-13,False,DED832001350,"metalcore, post-hardcore",61,209521,https://i.scdn.co/image/ab67616d0000b2736bbd5c58e7be013e8e83dcb3,https://i.scdn.co/image/ab6761610000e5ebd1f782d80e77de33906e2819,1Rty2CL0UZeJWeCcCiXmhg,5nxcR7W60CU3cvmGX1jBzQ,2XIbOWDT5vZPW7jNyzdfcK,8,14.0
Jenny,NOTHING MORE,Nothing More,2014-06-23,3:56,73,2014-06-23,False,USDPK1400165,,67,545705,https://i.scdn.co/image/ab67616d0000b273a6780d9c98263297fdeb544f,https://i.scdn.co/image/ab6761610000e5ebcd7961c989876a2982feb13e,3bq4ql5Y0JNudfTiVX1omb,2CASGo9Wmd6Dxrq3ygnRjf,39VNwvlQTqE9SvgPjjnMpc,9,11.0
Ignorance,Paramore,Brand New Eyes,2009-09-22,3:38,73,2009-09-22,False,USAT20902050,"pop punk, emo",82,9474638,https://i.scdn.co/image/ab67616d0000b273e01d7d558032457b0e4883f6,https://i.scdn.co/image/ab6761610000e5ebb10c34546a4ca2d7faeb8865,27UqZoE1kV6sIV6uQcI28A,47No93LxERvV6MtOAmQzHS,74XFHRwlV6OrjEM0A2NCMF,10,1.0
